token_text	predicates	gold predicates	arguments	gold arguments
in	_	_	_	_
the	_	_	_	_
Western	_	_	_	_
World	_	_	_	_
150	_	_	_	_
years	_	_	_	_
ago	_	_	_	_
.	_	_	_	_
Human	_	_	_	ARG
rights	_	PRED	ARG	_
are	PRED	PRED	_	_
below	_	_	_	_
any	_	_	_	_
reasonable	_	_	_	_
standard	_	_	_	_
,	_	_	_	_
in	_	_	_	_
spite	_	_	_	_
of	_	_	_	_
the	_	_	_	_
grotesque	_	_	_	_
fact	_	_	_	_
that	_	_	_	_
Libya	_	_	ARG	_
was	PRED	PRED	_	_
elected	PRED	PRED	_	_
Chair	_	_	_	_
of	_	_	_	_
the	_	_	_	_
UN	_	_	_	_
Human	_	_	_	_
Rights	_	_	_	_
commission	_	_	_	_
.	_	_	_	_
According	_	_	_	_
to	_	_	_	_
a	_	_	_	_
report	_	PRED	ARG	_
prepared	PRED	PRED	_	ARG
by	_	_	_	_
a	_	_	_	_
committee	_	_	ARG	_
of	_	_	_	_
Arab	_	_	_	_
intellectuals	_	_	_	_
and	_	_	_	_
published	PRED	PRED	_	_
under	_	_	_	_
the	_	_	_	_
auspices	_	_	_	_
of	_	_	_	_
the	_	_	_	_
U.N.	_	_	_	_
,	_	_	_	_
the	_	_	_	_
number	_	_	ARG	_
of	_	_	_	_
books	_	_	_	_
translated	PRED	PRED	_	_
by	_	_	_	_
the	_	_	_	_
entire	_	_	_	_
Arab	_	_	_	_
world	_	_	ARG	_
is	PRED	PRED	_	_
much	_	_	_	_
smaller	_	PRED	_	_
than	_	_	_	_
what	_	_	ARG	_
little	_	_	_	_
Greece	_	_	ARG	_
alone	_	_	_	_
translates	PRED	PRED	_	_
.	_	_	_	_
The	_	_	_	_
total	_	_	_	_
number	_	_	ARG	_
of	_	_	_	_
scientific	_	_	_	ARG
publications	_	PRED	_	_
of	_	_	_	_
300	_	_	_	_
million	_	_	_	_
Arabs	_	_	_	ARG
is	PRED	PRED	_	_
less	_	PRED	_	_
than	_	_	_	_
that	_	_	_	_
of	_	_	_	_
6	_	_	_	_
million	_	_	_	_
Israelis	_	_	_	_
.	_	_	_	_
Birth	_	_	_	_
rates	_	_	ARG	ARG
in	_	_	_	_
the	_	_	_	_
region	_	_	_	_
are	PRED	PRED	_	_
very	_	_	_	_
high	_	PRED	_	ARG
,	_	_	_	_
increasing	_	PRED	_	ARG
the	_	_	_	_
poverty	_	_	ARG	_
,	_	_	_	_
the	_	_	_	_
social	_	_	_	_
gaps	_	_	_	_
and	_	_	_	_
the	_	_	_	_
cultural	_	_	_	_
decline	_	_	_	_
.	_	_	_	_
And	_	_	_	_
all	_	_	ARG	_
of	_	_	_	_
this	_	_	_	_
is	PRED	PRED	_	_
happening	_	PRED	_	_
in	_	_	_	_
a	_	_	_	_
region	_	_	_	_
,	_	_	_	_
which	_	_	ARG	_
only	_	_	_	_
30	_	_	_	_
years	_	_	_	_
ago	_	_	_	_
,	_	_	_	_
was	PRED	PRED	_	_
believed	PRED	PRED	_	_
to	_	_	_	_
be	PRED	PRED	_	_
the	_	_	_	_
next	_	_	_	_
wealthy	_	_	_	_
part	_	_	_	_
of	_	_	_	_
the	_	_	_	_
world	_	_	_	_
,	_	_	_	_
and	_	_	_	_
in	_	_	_	_
a	_	_	_	_
Moslem	_	_	_	_
area	_	_	_	_
,	_	_	_	_
which	_	_	ARG	_
developed	PRED	PRED	_	_
,	_	_	_	_
at	_	_	_	_
some	_	_	_	_
point	_	_	_	_
in	_	_	_	_
history	_	_	_	_
,	_	_	_	_
one	_	_	_	_
of	_	_	_	_
the	_	_	_	_
most	_	_	_	_
advanced	_	_	_	_
cultures	_	_	_	_
in	_	_	_	_
the	_	_	_	_
world	_	_	_	_
.	_	_	_	_
It	_	_	ARG	_
is	PRED	PRED	_	_
fair	_	PRED	_	ARG
to	_	_	_	_
say	PRED	PRED	_	ARG
that	_	_	_	_
this	_	_	ARG	_
creates	PRED	PRED	_	_
an	_	_	_	_
unprecedented	_	_	_	_
breeding	_	_	_	_
ground	_	_	ARG	_
for	_	_	_	_
cruel	_	_	_	_
dictators	_	_	_	_
,	_	_	_	_
terror	_	_	_	_
networks	_	_	_	_
,	_	_	_	_
fanaticism	_	_	_	_
,	_	_	_	_
incitement	_	PRED	_	_
,	_	_	_	_
suicide	_	_	_	_
murders	_	PRED	_	_
and	_	_	_	_
general	_	_	_	_
decline	_	_	_	_
.	_	_	_	_
It	_	_	ARG	_
is	PRED	PRED	_	_
also	_	_	_	ARG
a	_	_	_	_
fact	_	_	_	ARG
that	_	_	_	_
almost	_	_	_	_
everybody	_	_	ARG	_
in	_	_	_	_
the	_	_	_	_
region	_	_	_	_
blames	PRED	PRED	_	ARG
this	_	_	_	_
situation	_	_	ARG	_
on	_	_	_	_
the	_	_	_	_
United	_	_	_	_
States	_	_	_	_
,	_	_	_	_
on	_	_	_	_
Israel	_	_	_	_
,	_	_	_	_
on	_	_	_	_
Western	_	_	_	_
Civilization	_	PRED	_	_
,	_	_	_	_
on	_	_	_	_
Judaism	_	_	_	_
and	_	_	_	_
Christianity	_	_	_	_
,	_	_	_	_
on	_	_	_	_
anyone	_	_	_	_
and	_	_	_	_
anything	_	_	_	_
,	_	_	_	_
except	_	_	_	_
themselves	_	_	_	_
.	_	_	_	_
A	_	_	_	_
word	_	_	_	_
about	_	_	_	_
the	_	_	_	_
millions	_	_	_	_
of	_	_	_	_
decent	_	_	_	_
,	_	_	_	_
honest	_	_	_	_
,	_	_	_	_
good	_	_	_	_
people	_	_	_	ARG
who	_	_	ARG	ARG
are	PRED	PRED	_	_
either	_	_	_	_
devout	_	_	_	_
Moslems	_	_	_	ARG
or	_	_	_	_
are	PRED	PRED	_	_
not	_	_	_	_
very	_	_	_	_
religious	_	PRED	_	_
but	_	_	_	_
grew	PRED	PRED	_	_
up	_	_	_	_
in	_	_	_	_
Moslem	_	_	_	_
families	_	_	_	_
:	_	_	_	_
They	_	_	ARG	_
are	PRED	PRED	_	_
double	_	_	_	_
victims	_	_	_	_
of	_	_	_	_
an	_	_	_	_
outside	_	_	_	_
world	_	_	_	_
,	_	_	_	_
which	_	_	ARG	_
now	_	_	ARG	_
develops	PRED	PRED	_	_
Islamophobia	_	_	ARG	_
,	_	_	_	_
and	_	_	_	_
of	_	_	_	_
their	_	_	_	_
own	_	_	_	_
environment	_	_	_	_
which	_	_	ARG	_
breaks	PRED	PRED	_	_
their	_	_	_	_
heart	_	_	ARG	_
by	_	_	_	_
being	_	PRED	_	_
totally	_	_	_	_
dysfunctional	_	_	_	_
.	_	_	_	_
The	_	_	_	_
problem	_	_	ARG	ARG
is	PRED	PRED	_	_
that	_	_	_	_
the	_	_	_	_
vast	_	_	_	_
silent	_	_	_	_
majority	_	_	ARG	_
of	_	_	_	_
these	_	_	_	_
Moslems	_	_	_	_
are	PRED	PRED	_	_
not	_	_	_	_
part	_	_	_	ARG
of	_	_	_	_
the	_	_	_	_
terror	_	_	_	_
and	_	_	_	_
the	_	_	_	_
incitement	_	PRED	_	_
,	_	_	_	_
but	_	_	_	_
they	_	_	ARG	_
also	_	_	_	_
do	PRED	PRED	_	_
not	_	_	_	_
stand	PRED	PRED	_	_
up	_	_	_	_
against	_	_	_	_
it	_	_	_	_
.	_	_	_	_
They	_	_	ARG	ARG
become	PRED	PRED	_	_
accomplices	_	_	_	ARG
,	_	_	_	_
by	_	_	_	_
omission	_	PRED	ARG	ARG
,	_	_	_	_
and	_	_	_	_
this	_	_	ARG	_
applies	PRED	PRED	_	_
to	_	_	_	_
political	_	_	_	_
leaders	_	_	ARG	_
,	_	_	_	_
intellectuals	_	_	_	_
,	_	_	_	_
business	_	_	_	_
people	_	_	_	_
and	_	_	_	_
many	_	_	_	_
others	_	_	_	_
.	_	_	_	_
Many	_	_	ARG	ARG
of	_	_	_	_
them	_	_	_	_
can	_	_	_	ARG
certainly	_	_	_	ARG
tell	PRED	PRED	_	_
right	_	_	ARG	ARG
from	_	_	_	_
wrong	_	_	_	ARG
,	_	_	_	_
but	_	_	_	_
are	PRED	PRED	_	_
afraid	_	PRED	_	_
to	_	_	_	_
express	PRED	PRED	_	_
their	_	_	_	_
views	_	PRED	ARG	_
.	_	_	_	_
The	_	_	_	_
events	_	_	ARG	_
of	_	_	_	_
the	_	_	_	_
last	_	_	_	_
few	_	_	_	_
years	_	_	_	_
have	PRED	PRED	_	_
amplified	PRED	PRED	_	_
four	_	_	_	_
issues	_	PRED	ARG	_
,	_	_	_	_
which	_	_	ARG	_
have	PRED	PRED	_	_
always	_	_	_	_
existed	PRED	PRED	_	_
,	_	_	_	_
but	_	_	_	_
have	PRED	PRED	_	_
never	_	_	_	_
been	PRED	PRED	_	_
as	_	_	_	_
rampant	_	_	_	_
as	_	_	_	_
in	_	_	_	_
the	_	_	_	_
present	_	_	_	_
upheaval	_	PRED	_	_
in	_	_	_	_
the	_	_	_	_
region	_	_	_	_
.	_	_	_	_
A	_	_	_	_
few	_	_	_	_
more	_	_	_	_
years	_	_	ARG	ARG
may	_	_	_	ARG
pass	PRED	PRED	_	_
before	_	_	_	_
everybody	_	_	ARG	_
acknowledges	PRED	PRED	_	ARG
that	_	_	_	_
it	_	_	ARG	_
is	PRED	PRED	_	_
a	_	_	_	_
World	_	_	_	_
War	_	_	_	_
,	_	_	_	_
but	_	_	_	_
we	_	_	ARG	_
are	PRED	PRED	_	_
already	_	_	ARG	_
well	_	_	_	_
into	_	_	_	_
it	_	_	_	_
.	_	_	_	_
These	_	_	ARG	ARG
are	PRED	PRED	_	_
the	_	_	_	_
four	_	_	_	_
main	_	_	_	_
pillars	_	_	_	ARG
of	_	_	_	_
the	_	_	_	_
current	_	_	_	_
World	_	_	_	_
Conflict	_	PRED	_	_
,	_	_	_	_
or	_	_	_	_
perhaps	_	_	_	_
we	_	_	ARG	_
should	_	_	_	_
already	_	_	ARG	_
refer	PRED	PRED	_	_
to	_	_	_	_
it	_	_	ARG	_
as	_	_	_	_
|	|	_	_	_	_
the	_	_	_	_
undeclared	_	_	_	_
World	_	_	_	_
War	_	_	_	_
III	_	_	_	_
|	|	_	_	_	_
:	_	_	_	_
*	_	_	_	_
1	_	_	_	_
.	_	_	_	_
The	_	_	_	_
first	_	_	_	_
element	_	_	ARG	ARG
is	PRED	PRED	_	_
the	_	_	_	_
suicide	_	_	_	_
murder	_	PRED	_	ARG
.	_	_	_	_
*	_	_	_	_
Suicide	_	_	_	ARG
murders	_	PRED	ARG	_
are	PRED	PRED	_	_
not	_	_	_	_
a	_	_	_	_
new	_	_	_	_
invention	_	PRED	_	_
but	_	_	_	_
they	_	_	ARG	_
have	PRED	PRED	_	_
been	PRED	PRED	_	_
made	PRED	PRED	_	_
popular	_	PRED	_	_
,	_	_	_	_
if	_	_	_	_
I	_	_	ARG	_
may	_	_	_	_
use	PRED	PRED	_	_
this	_	_	_	_
expression	_	PRED	ARG	_
,	_	_	_	_
only	_	_	_	_
lately	_	_	_	_
.	_	_	_	_
Even	_	_	_	_
after	_	_	_	_
September	_	_	_	ARG
11	_	_	_	_
,	_	_	_	_
it	_	_	ARG	_
seems	PRED	PRED	_	_
that	_	_	_	_
most	_	_	ARG	_
of	_	_	_	_
the	_	_	_	_
Western	_	_	_	_
World	_	_	_	_
does	PRED	PRED	_	_
not	_	_	_	_
yet	_	_	_	_
understand	PRED	PRED	_	ARG
this	_	_	_	_
weapon	_	_	ARG	_
.	_	_	_	_
Its	_	_	_	ARG
real	_	_	_	ARG
direct	_	_	_	ARG
impact	_	PRED	ARG	_
is	PRED	PRED	_	_
relatively	_	_	_	_
minor	_	PRED	_	_
.	_	_	_	_
The	_	_	_	_
total	_	_	_	_
number	_	_	ARG	_
of	_	_	_	_
casualties	_	_	_	_
from	_	_	_	_
hundreds	_	_	_	_
of	_	_	_	_
suicide	_	_	_	ARG
murders	_	PRED	_	_
within	_	_	_	_
Israel	_	_	_	ARG
in	_	_	_	_
the	_	_	_	_
last	_	_	_	_
three	_	_	_	_
years	_	_	_	ARG
is	PRED	PRED	_	_
much	_	_	_	_
smaller	_	PRED	_	_
than	_	_	_	_
those	_	_	_	_
due	_	_	_	_
to	_	_	_	_
car	_	_	_	_
accidents	_	_	_	_
.	_	_	_	_
September	_	_	ARG	ARG
11	_	_	_	_
was	PRED	PRED	_	_
quantitatively	_	_	_	ARG
much	_	_	_	_
less	_	_	_	_
lethal	_	_	_	ARG
than	_	_	_	_
many	_	_	_	_
earthquakes	_	PRED	_	_
More	_	_	_	_
people	_	_	ARG	ARG
die	PRED	PRED	_	_
from	_	_	_	_
AIDS	_	_	_	ARG
in	_	_	_	_
one	_	_	_	_
day	_	_	_	ARG
in	_	_	_	_
Africa	_	_	_	ARG
than	_	_	_	_
all	_	_	_	_
the	_	_	_	_
Russians	_	_	_	ARG
who	_	_	ARG	_
died	PRED	PRED	_	_
in	_	_	_	_
the	_	_	_	_
hands	_	_	_	_
of	_	_	_	_
Chechnya	_	_	_	_
-	_	_	_	_
based	PRED	PRED	_	_
Moslem	_	_	_	_
suicide	_	_	_	_
murderers	_	_	_	_
since	_	_	_	_
that	_	_	_	_
conflict	_	PRED	ARG	_
started	PRED	PRED	_	_
.	_	_	_	_
Saddam	_	_	ARG	ARG
killed	PRED	PRED	_	_
every	_	_	_	_
month	_	_	_	ARG
more	_	_	_	_
people	_	_	ARG	ARG
than	_	_	_	_
all	_	_	_	_
those	_	_	_	_
who	_	_	ARG	_
died	PRED	PRED	_	_
from	_	_	_	_
suicide	_	_	_	_
murders	_	PRED	_	_
since	_	_	_	_
the	_	_	_	_
Coalition	_	_	_	_
occupation	_	PRED	_	_
of	_	_	_	_
Iraq	_	_	_	_
.	_	_	_	_
So	_	_	_	_
what	_	_	_	ARG
is	PRED	PRED	_	_
all	_	_	_	_
the	_	_	_	_
fuss	_	_	_	ARG
about	_	_	_	_
suicide	_	_	_	_
killings	_	PRED	_	_
?	_	_	_	_
It	_	_	ARG	ARG
is	PRED	PRED	_	_
a	_	_	_	_
very	_	_	_	_
cruel	_	_	_	_
death	_	PRED	_	ARG
with	_	_	_	_
bodies	_	_	_	_
dismembered	PRED	PRED	_	_
and	_	_	_	_
horrible	_	_	_	_
severe	_	_	_	_
lifelong	_	_	_	_
injuries	_	PRED	_	_
to	_	_	_	_
many	_	_	ARG	_
of	_	_	_	_
the	_	_	_	_
wounded	_	_	_	_
.	_	_	_	_
It	_	_	ARG	_
is	PRED	PRED	_	_
always	_	_	_	_
shown	PRED	PRED	_	_
on	_	_	_	_
television	_	_	_	_
in	_	_	_	_
great	_	_	_	_
detail	_	_	_	_
.	_	_	_	_
One	_	_	_	_
such	_	_	_	ARG
murder	_	PRED	ARG	_
,	_	_	_	_
with	_	_	_	_
the	_	_	_	_
help	_	PRED	_	_
of	_	_	_	_
hysterical	_	_	_	_
media	_	_	_	_
coverage	_	PRED	_	_
,	_	_	_	_
can	_	_	_	_
destroy	PRED	PRED	_	_
the	_	_	_	_
tourism	_	_	_	_
industry	_	_	ARG	_
of	_	_	_	_
a	_	_	_	_
country	_	_	_	_
for	_	_	_	_
quite	_	_	_	_
a	_	_	_	_
while	_	_	_	_
,	_	_	_	_
as	_	_	_	_
it	_	_	ARG	_
did	PRED	PRED	_	_
in	_	_	_	_
Bali	_	_	_	_
and	_	_	_	_
in	_	_	_	_
Turkey	_	_	_	_
.	_	_	_	_
But	_	_	_	_
the	_	_	_	_
real	_	_	_	ARG
fear	_	PRED	ARG	_
comes	PRED	PRED	_	_
from	_	_	_	_
the	_	_	_	_
undisputed	_	_	_	_
fact	_	_	_	_
that	_	_	_	_
no	_	_	_	_
defense	_	PRED	ARG	_
and	_	_	_	_
no	_	_	_	_
preventive	_	_	_	_
measures	_	PRED	_	_
can	_	_	_	_
succeed	PRED	PRED	_	_
against	_	_	_	_
a	_	_	_	_
determined	_	_	_	_
suicide	_	_	_	_
murderer	_	_	_	_
.	_	_	_	_
This	_	_	ARG	_
has	PRED	PRED	_	_
not	_	_	_	_
yet	_	_	_	_
penetrated	PRED	PRED	_	_
the	_	_	_	_
thinking	_	PRED	ARG	_
of	_	_	_	_
the	_	_	_	_
Western	_	_	_	_
World	_	_	_	_
.	_	_	_	_
The	_	_	_	_
U.S.	_	_	ARG	_
and	_	_	_	_
Europe	_	_	_	_
are	PRED	PRED	_	_
constantly	_	_	_	_
improving	_	PRED	_	_
their	_	_	_	_
defense	_	PRED	ARG	_
against	_	_	_	_
the	_	_	_	_
last	_	_	_	_
murder	_	PRED	_	_
,	_	_	_	_
not	_	_	_	_
the	_	_	_	_
next	_	_	_	_
one	_	_	_	_
.	_	_	_	_
But	_	_	_	_
if	_	_	_	_
you	_	_	ARG	ARG
want	PRED	PRED	_	_
to	_	_	_	_
murder	PRED	PRED	_	ARG
by	_	_	_	_
suicide	_	_	ARG	_
,	_	_	_	_
you	_	_	ARG	_
do	PRED	PRED	_	_
not	_	_	_	_
have	PRED	PRED	_	_
to	_	_	_	_
board	PRED	PRED	_	_
a	_	_	_	_
plane	_	_	ARG	_
in	_	_	_	_
order	_	_	_	_
to	_	_	_	_
explode	PRED	PRED	_	_
yourself	_	_	ARG	_
and	_	_	_	_
kill	PRED	PRED	_	_
many	_	_	_	_
people	_	_	ARG	_
.	_	_	_	_
Who	_	_	ARG	ARG
could	_	_	_	ARG
stop	PRED	PRED	_	_
a	_	_	_	_
suicide	_	_	_	_
murder	_	PRED	ARG	ARG
in	_	_	_	_
the	_	_	_	_
midst	_	_	_	_
of	_	_	_	_
the	_	_	_	_
crowded	_	_	_	_
line	_	_	_	_
waiting	_	PRED	_	_
to	_	_	_	_
be	PRED	PRED	_	_
checked	PRED	PRED	_	_
by	_	_	_	_
the	_	_	_	_
airport	_	_	_	_
metal	_	_	_	_
detector	_	_	ARG	_
?	_	_	_	_
Put	PRED	PRED	_	_
a	_	_	_	_
metal	_	_	_	_
detector	_	_	ARG	ARG
in	_	_	_	_
front	_	_	_	ARG
of	_	_	_	_
every	_	_	_	_
train	_	_	_	_
station	_	_	_	_
in	_	_	_	_
Spain	_	_	_	_
and	_	_	_	_
the	_	_	_	_
terrorists	_	_	ARG	_
will	_	_	_	_
get	PRED	PRED	_	_
the	_	_	_	_
buses	_	_	ARG	_
.	_	_	_	_
Protect	PRED	PRED	_	_
the	_	_	_	_
buses	_	_	ARG	ARG
and	_	_	_	_
they	_	_	ARG	_
will	_	_	_	_
explode	PRED	PRED	_	_
in	_	_	_	_
movie	_	_	_	_
theaters	_	_	_	_
,	_	_	_	_
concert	_	_	_	_
halls	_	_	_	_
,	_	_	_	_
supermarkets	_	_	_	_
,	_	_	_	_
shopping	_	_	_	_
malls	_	_	_	_
,	_	_	_	_
schools	_	_	_	_
and	_	_	_	_
hospitals	_	_	_	_
.	_	_	_	_
Put	PRED	PRED	_	_
guards	_	_	ARG	ARG
in	_	_	_	_
front	_	_	_	ARG
of	_	_	_	_
every	_	_	_	_
concert	_	_	_	_
hall	_	_	_	_
and	_	_	_	_
there	_	_	_	_
will	_	_	_	_
always	_	_	_	_
be	PRED	PRED	_	_
a	_	_	_	_
line	_	_	_	_
of	_	_	_	_
people	_	_	_	_
to	_	_	_	_
be	PRED	PRED	_	_
checked	PRED	PRED	_	_
by	_	_	_	_
the	_	_	_	_
guards	_	_	ARG	_
and	_	_	_	_
this	_	_	_	_
line	_	_	ARG	_
will	_	_	_	_
be	PRED	PRED	_	_
the	_	_	_	_
target	_	_	_	_
,	_	_	_	_
not	_	_	_	_
to	_	_	_	_
speak	PRED	PRED	_	_
of	_	_	_	_
killing	_	PRED	_	_
the	_	_	_	_
guards	_	_	ARG	_
themselves	_	_	_	_
.	_	_	_	_
You	_	_	ARG	ARG
can	_	_	_	ARG
somewhat	_	_	_	ARG
reduce	PRED	PRED	_	_
your	_	_	_	_
vulnerability	_	_	ARG	ARG
by	_	_	_	_
preventive	_	_	_	_
and	_	_	_	_
defensive	_	_	_	_
measures	_	PRED	ARG	ARG
and	_	_	_	_
by	_	_	_	_
strict	_	_	_	_
border	_	_	_	_
controls	_	PRED	ARG	_
but	_	_	_	_
not	_	_	_	_
eliminate	PRED	PRED	_	_
it	_	_	ARG	_
and	_	_	_	_
definitely	_	_	_	_
not	_	_	_	_
win	PRED	PRED	_	_
the	_	_	_	_
war	_	PRED	ARG	_
in	_	_	_	_
a	_	_	_	_
defensive	_	_	_	_
way	_	PRED	_	_
.	_	_	_	_
And	_	_	_	ARG
it	_	_	ARG	ARG
is	PRED	PRED	_	_
a	_	_	_	_
war	_	PRED	_	ARG
!	_	_	_	_
What	_	_	ARG	ARG
is	PRED	PRED	_	_
behind	_	_	_	_
the	_	_	_	_
suicide	_	_	_	_
murders	_	PRED	_	ARG
?	_	_	_	_
Money	_	_	ARG	ARG
is	PRED	PRED	_	_
,	_	_	_	_
money	_	_	_	ARG
and	_	_	_	_
power	_	_	_	_
and	_	_	_	_
cold	_	_	_	_
-	_	_	_	_
blooded	_	_	_	_
murderous	_	_	_	_
incitement	_	PRED	_	_
,	_	_	_	_
nothing	_	_	_	_
else	_	_	_	_
.	_	_	_	_
It	_	_	ARG	ARG
has	PRED	PRED	_	_
nothing	_	_	ARG	ARG
to	_	_	_	_
do	PRED	PRED	_	_
with	_	_	_	_
true	_	_	_	_
fanatic	_	_	_	_
religious	_	_	_	_
beliefs	_	_	_	_
.	_	_	_	_
No	_	_	_	_
Moslem	_	_	_	_
preacher	_	_	ARG	_
has	PRED	PRED	_	_
ever	_	_	_	_
blown	PRED	PRED	_	_
himself	_	_	ARG	_
up	_	_	_	_
.	_	_	_	_
No	_	_	_	_
son	_	_	ARG	_
of	_	_	_	_
an	_	_	_	_
Arab	_	_	_	_
politician	_	_	_	_
or	_	_	_	_
religious	_	_	_	_
leader	_	_	_	_
has	PRED	PRED	_	_
ever	_	_	_	_
blown	PRED	PRED	_	_
himself	_	_	ARG	_
up	_	_	_	_
.	_	_	_	_
No	_	_	_	_
relative	_	_	ARG	_
of	_	_	_	_
anyone	_	_	_	_
influential	_	_	_	_
has	PRED	PRED	_	_
done	PRED	PRED	_	_
it	_	_	ARG	_
.	_	_	_	_
Would	_	_	_	ARG
n't	_	_	_	ARG
you	_	_	ARG	ARG
expect	PRED	PRED	_	_
some	_	_	ARG	ARG
of	_	_	_	_
the	_	_	_	_
religious	_	_	_	_
leaders	_	_	_	_
to	_	_	_	_
do	PRED	PRED	_	ARG
it	_	_	ARG	_
themselves	_	_	_	_
,	_	_	_	_
or	_	_	_	_
to	_	_	_	_
talk	PRED	PRED	_	_
their	_	_	_	_
sons	_	_	ARG	_
into	_	_	_	_
doing	_	PRED	_	_
it	_	_	ARG	_
,	_	_	_	_
if	_	_	_	_
this	_	_	ARG	_
is	PRED	PRED	_	_
truly	_	_	_	_
a	_	_	_	_
supreme	_	_	_	_
act	_	_	_	ARG
of	_	_	_	_
religious	_	_	_	_
fervor	_	_	_	_
?	_	_	_	_
Are	PRED	PRED	_	_
n't	_	_	_	ARG
they	_	_	ARG	ARG
interested	_	PRED	_	ARG
in	_	_	_	_
the	_	_	_	_
benefits	_	PRED	_	_
of	_	_	_	_
going	_	PRED	_	_
to	_	_	_	_
Heaven	_	_	ARG	_
?	_	_	_	_
Instead	_	_	_	ARG
,	_	_	_	_
they	_	_	ARG	ARG
send	PRED	PRED	_	_
outcast	_	_	_	_
women	_	_	ARG	ARG
,	_	_	_	_
naive	_	_	_	_
children	_	_	_	_
,	_	_	_	_
retarded	_	_	_	_
people	_	_	_	_
and	_	_	_	_
young	_	_	_	_
incited	PRED	PRED	_	_
hotheads	_	_	_	_
.	_	_	_	_
They	_	_	ARG	ARG
promise	PRED	PRED	_	_
them	_	_	ARG	ARG
the	_	_	_	_
delights	_	_	ARG	ARG
,	_	_	_	_
mostly	_	_	_	_
sexual	_	_	_	_
,	_	_	_	_
of	_	_	_	_
the	_	_	_	_
next	_	_	_	_
world	_	_	_	_
,	_	_	_	_
and	_	_	_	_
pay	PRED	PRED	_	_
their	_	_	_	_
families	_	_	ARG	_
handsomely	_	_	_	_
after	_	_	_	_
the	_	_	_	_
supreme	_	_	_	_
act	_	_	ARG	_
is	PRED	PRED	_	_
performed	PRED	PRED	_	_
and	_	_	_	_
enough	_	_	_	_
innocent	_	_	_	_
people	_	_	ARG	_
are	PRED	PRED	_	_
dead	_	_	_	_
.	_	_	_	_
Suicide	_	_	_	ARG
murders	_	PRED	ARG	_
also	_	_	_	_
have	PRED	PRED	_	_
nothing	_	_	ARG	_
to	_	_	_	_
do	PRED	PRED	_	_
with	_	_	_	_
poverty	_	_	_	_
and	_	_	_	_
despair	_	_	_	_
.	_	_	_	_
Desperation	_	_	ARG	_
does	PRED	PRED	_	_
not	_	_	_	_
provide	PRED	PRED	_	_
anyone	_	_	ARG	_
with	_	_	_	_
explosives	_	_	_	_
,	_	_	_	_
reconnaissance	_	PRED	_	_
and	_	_	_	_
transportation	_	PRED	_	_
.	_	_	_	_
There	_	_	_	_
was	PRED	PRED	_	_
certainly	_	_	_	ARG
more	_	_	_	_
despair	_	_	_	ARG
in	_	_	_	_
Saddam	_	_	_	_
's	_	_	_	_
Iraq	_	_	_	_
than	_	_	_	_
in	_	_	_	_
Paul	_	_	_	_
Bremmer	_	_	_	_
's	_	_	_	_
Iraq	_	_	_	_
,	_	_	_	_
and	_	_	_	_
no	_	_	_	_
one	_	_	ARG	_
exploded	PRED	PRED	_	_
himself	_	_	ARG	_
.	_	_	_	_
A	_	_	_	_
suicide	_	_	_	ARG
murder	_	PRED	ARG	_
is	PRED	PRED	_	_
simply	_	_	_	_
a	_	_	_	_
horrible	_	_	_	_
,	_	_	_	_
vicious	_	_	_	_
weapon	_	_	_	_
of	_	_	_	_
cruel	_	_	_	_
,	_	_	_	_
inhuman	_	_	_	_
,	_	_	_	_
cynical	_	_	_	_
,	_	_	_	_
well	_	_	_	_
-	_	_	_	_
funded	PRED	_	_	_
terrorists	_	_	_	_
,	_	_	_	_
with	_	_	_	_
no	_	_	_	_
regard	_	PRED	_	_
to	_	_	_	_
human	_	_	_	_
life	_	_	ARG	_
,	_	_	_	_
including	_	_	_	_
the	_	_	_	_
life	_	_	_	_
of	_	_	_	_
their	_	_	_	_
fellow	_	_	_	_
countrymen	_	_	_	_
,	_	_	_	_
but	_	_	_	_
with	_	_	_	_
very	_	_	_	_
high	_	_	_	_
regard	_	PRED	_	_
to	_	_	_	_
their	_	_	_	_
own	_	_	_	_
affluent	_	_	_	_
well	_	_	_	_
-	_	_	_	_
being	_	PRED	ARG	_
and	_	_	_	_
their	_	_	_	_
hunger	_	_	_	_
for	_	_	_	_
power	_	_	_	_
.	_	_	_	_
The	_	_	_	_
only	_	_	_	ARG
way	_	PRED	_	_
to	_	_	_	_
fight	PRED	PRED	_	ARG
this	_	_	_	_
new	_	_	ARG	_
|	|	_	_	_	_
popular	_	_	_	_
|	|	_	_	_	_
weapon	_	_	ARG	_
is	PRED	PRED	_	_
identical	_	PRED	_	_
to	_	_	_	_
the	_	_	_	_
only	_	_	_	_
way	_	PRED	ARG	_
in	_	_	_	_
which	_	_	_	_
you	_	_	ARG	_
fight	PRED	PRED	_	_
organized	_	_	_	_
crime	_	_	ARG	_
or	_	_	_	_
pirates	_	_	_	_
on	_	_	_	_
the	_	_	_	_
high	_	_	_	_
seas	_	_	_	_
:	_	_	_	_
the	_	_	_	_
offensive	_	_	_	_
way	_	PRED	_	_
.	_	_	_	_
Like	_	_	_	_
in	_	_	_	_
the	_	_	_	_
case	_	PRED	_	_
of	_	_	_	_
organized	_	_	_	_
crime	_	_	_	ARG
,	_	_	_	_
it	_	_	ARG	_
is	PRED	PRED	_	_
crucial	_	_	_	_
that	_	_	_	_
the	_	_	_	_
forces	_	_	ARG	_
on	_	_	_	_
the	_	_	_	_
