token_text	predicates	gold predicates
that	_	_
some	_	_
may	_	_
not	_	_
have	PRED	PRED
done	PRED	PRED
any	_	_
works	_	PRED
on	_	_
paper	_	_
or	_	_
they	_	_
are	PRED	PRED
outrageously	_	_
expensive	_	PRED
.	_	_
For	_	_
example	_	_
,	_	_
I	_	_
would	_	_
like	PRED	PRED
to	_	_
know	PRED	PRED
if	_	_
Rothko	_	_
or	_	_
Kline	_	_
did	PRED	PRED
any	_	_
work	_	PRED
on	_	_
paper	_	_
.	_	_
At	_	_
least	_	_
that	_	_
is	PRED	PRED
what	_	_
I	_	_
am	PRED	PRED
thinking	_	PRED
now	_	_
.	_	_
Suerat	_	_
(	_	_
any	_	_
works	_	PRED
on	_	_
paper	_	_
?	_	_
-	_	_
I	_	_
do	PRED	PRED
n't	_	_
know	PRED	PRED
that	_	_
he	_	_
did	PRED	PRED
any	_	_
)	_	_
By	_	_
the	_	_
way	_	_
,	_	_
I	_	_
am	PRED	PRED
interested	_	PRED
in	_	_
re-looking	_	PRED
at	_	_
a	_	_
Picasso	_	_
(	_	_
although	_	_
we	_	_
have	PRED	PRED
2	_	_
)	_	_
that	_	_
your	_	_
gallery	_	_
had	PRED	PRED
a	_	_
couple	_	_
of	_	_
years	_	_
ago	_	_
.	_	_
It	_	_
was	PRED	PRED
a	_	_
cubist	_	_
piece	_	_
from	_	_
the	_	_
1920s	_	_
and	_	_
I	_	_
believe	PRED	PRED
you	_	_
called	PRED	PRED
the	_	_
technique	_	_
a	_	_
|	|	_	_
push	_	_
wa	_	_
|	|	_	_
(	_	_
pronunciation	_	PRED
Vs	_	_
an	_	_
attempt	_	PRED
at	_	_
the	_	_
proper	_	_
spelling	_	PRED
)	_	_
.	_	_
It	_	_
was	PRED	PRED
for	_	_
sale	_	PRED
in	_	_
a	_	_
couple	_	_
of	_	_
galleries	_	_
in	_	_
SF	_	_
and	_	_
was	PRED	PRED
about	_	_
$	_	_
20,000	_	_
.	_	_
Is	PRED	PRED
there	_	_
1	_	_
available	_	_
?	_	_
Also	_	_
I	_	_
am	PRED	PRED
still	_	_
thinking	_	PRED
about	_	_
the	_	_
Matisse	_	_
we	_	_
discussed	PRED	PRED
before	_	_
but	_	_
as	_	_
you	_	_
can	_	_
see	PRED	PRED
,	_	_
I	_	_
have	PRED	PRED
a	_	_
lot	_	_
of	_	_
other	_	_
artists	_	_
I	_	_
am	PRED	PRED
interested	_	PRED
in	_	_
and	_	_
it	_	_
may	_	_
remain	PRED	PRED
on	_	_
the	_	_
back	_	_
burner	_	_
because	_	_
we	_	_
already	_	_
have	PRED	PRED
one	_	_
.	_	_
Thanks	_	PRED
,	_	_
Huskers	_	_
drool	PRED	PRED
over	_	_
Sooners	_	_
.	_	_
Huskers	_	_
rule	PRED	PRED
,	_	_
Sooners	_	_
drool	PRED	PRED
.	_	_
Thanks	_	PRED
for	_	_
the	_	_
note	_	_
.	_	_
Sooners	_	_
rule	PRED	PRED
.	_	_
We	_	_
'll	_	_
find	PRED	PRED
time	_	_
when	_	_
things	_	_
settle	PRED	PRED
down	_	_
.	_	_
I	_	_
see	PRED	PRED
that	_	_
we	_	_
are	PRED	PRED
scheduled	PRED	PRED
to	_	_
have	PRED	PRED
lunch	_	PRED
today	_	_
.	_	_
I	_	_
may	_	_
have	PRED	PRED
to	_	_
postpone	PRED	PRED
again	_	_
,	_	_
I	_	_
'll	_	_
let	PRED	PRED
you	_	_
know	PRED	PRED
later	_	_
this	_	_
morning	_	_
.	_	_
I	_	_
am	PRED	PRED
out	_	_
all	_	_
weekend	_	_
and	_	_
we	_	_
have	PRED	PRED
to	_	_
have	PRED	PRED
the	_	_
final	_	_
comments	_	PRED
on	_	_
the	_	_
Analyst	_	_
Presentation	_	PRED
in	_	_
by	_	_
sunday	_	_
night	_	_
so	_	_
I	_	_
may	_	_
be	PRED	PRED
working	_	PRED
over	_	_
lunch	_	_
.	_	_
Actually	_	_
,	_	_
I	_	_
think	PRED	PRED
we	_	_
are	PRED	PRED
in	_	_
pretty	_	_
good	_	_
shape	_	PRED
so	_	_
I	_	_
will	_	_
probably	_	_
be	PRED	PRED
doing	_	PRED
lunch	_	_
but	_	_
just	_	_
do	PRED	PRED
n't	_	_
be	PRED	PRED
too	_	_
mad	_	PRED
if	_	_
I	_	_
have	PRED	PRED
to	_	_
cancel	PRED	PRED
.	_	_
PS	_	_
Your	_	_
brother	_	_
told	PRED	PRED
me	_	_
he	_	_
went	PRED	PRED
to	_	_
3	_	_
bowl	_	_
games	_	_
(	_	_
when	_	_
I	_	_
found	PRED	PRED
out	_	_
that	_	_
two	_	_
of	_	_
them	_	_
were	PRED	PRED
the	_	_
galleryfurniture.com	_	_
bowl	_	_
and	_	_
that	_	_
one	_	_
in	_	_
Shreveport	_	_
(	_	_
I	_	_
ca	_	_
n't	_	_
remember	PRED	PRED
the	_	_
name	_	_
of	_	_
it	_	_
))	_	_
I	_	_
realized	PRED	PRED
he	_	_
is	PRED	PRED
a	_	_
very	_	_
,	_	_
very	_	_
sick	_	_
college	_	_
football	_	_
fan	_	_
.	_	_
Jeff	_	_
,	_	_
here	_	_
is	PRED	PRED
the	_	_
intial	_	_
draft	_	_
.	_	_
Please	_	_
leave	PRED	PRED
as	_	_
a	_	_
word	_	_
document	_	_
and	_	_
make	PRED	PRED
any	_	_
changes	_	PRED
and	_	_
additions	_	PRED
that	_	_
you	_	_
think	PRED	PRED
necessary	_	PRED
.	_	_
I	_	_
have	PRED	PRED
n't	_	_
even	_	_
changed	PRED	PRED
the	_	_
wording	_	PRED
after	_	_
I	_	_
first	_	_
put	PRED	PRED
it	_	_
down	_	_
.	_	_
Mark	_	_
,	_	_
I	_	_
thought	PRED	PRED
you	_	_
would	_	_
enjoy	PRED	PRED
the	_	_
comment	_	PRED
about	_	_
you	_	_
.	_	_
I	_	_
see	PRED	PRED
that	_	_
we	_	_
are	PRED	PRED
scheduled	PRED	PRED
to	_	_
have	PRED	PRED
lunch	_	PRED
today	_	_
.	_	_
I	_	_
may	_	_
have	PRED	PRED
to	_	_
postpone	PRED	PRED
again	_	_
,	_	_
I	_	_
'll	_	_
let	PRED	PRED
you	_	_
know	PRED	PRED
later	_	_
this	_	_
morning	_	_
.	_	_
I	_	_
am	PRED	PRED
out	_	_
all	_	_
weekend	_	_
and	_	_
we	_	_
have	PRED	PRED
to	_	_
have	PRED	PRED
the	_	_
final	_	_
comments	_	PRED
on	_	_
the	_	_
Analyst	_	_
Presentation	_	PRED
in	_	_
by	_	_
sunday	_	_
night	_	_
so	_	_
I	_	_
may	_	_
be	PRED	PRED
working	_	PRED
over	_	_
lunch	_	_
.	_	_
Actually	_	_
,	_	_
I	_	_
think	PRED	PRED
we	_	_
are	PRED	PRED
in	_	_
pretty	_	_
good	_	_
shape	_	PRED
so	_	_
I	_	_
will	_	_
probably	_	_
be	PRED	PRED
doing	_	PRED
lunch	_	_
but	_	_
just	_	_
do	PRED	PRED
n't	_	_
be	PRED	PRED
too	_	_
mad	_	PRED
if	_	_
I	_	_
have	PRED	PRED
to	_	_
cancel	PRED	PRED
.	_	_
PS	_	_
Your	_	_
brother	_	_
told	PRED	PRED
me	_	_
he	_	_
went	PRED	PRED
to	_	_
3	_	_
bowl	_	_
games	_	_
(	_	_
when	_	_
I	_	_
found	PRED	PRED
out	_	_
that	_	_
two	_	_
of	_	_
them	_	_
were	PRED	PRED
the	_	_
galleryfurniture.com	_	_
bowl	_	_
and	_	_
that	_	_
one	_	_
in	_	_
Shreveport	_	_
(	_	_
I	_	_
ca	_	_
n't	_	_
remember	PRED	PRED
the	_	_
name	_	_
of	_	_
it	_	_
))	_	_
I	_	_
realized	PRED	PRED
he	_	_
is	PRED	PRED
a	_	_
very	_	_
,	_	_
very	_	_
sick	_	_
college	_	_
football	_	_
fan	_	_
.	_	_
I	_	_
will	_	_
put	PRED	PRED
this	_	_
on	_	_
our	_	_
calendars	_	_
.	_	_
Too	_	_
bad	_	_
you	_	_
wo	_	_
n't	_	_
make	PRED	PRED
the	_	_
Compaq	_	_
thing	_	_
,	_	_
but	_	_
maybe	_	_
next	_	_
year	_	_
.	_	_
That	_	_
will	_	_
be	PRED	PRED
a	_	_
nice	_	_
time	_	_
of	_	_
year	_	_
though	_	_
.	_	_
I	_	_
can	_	_
recommend	PRED	PRED
some	_	_
good	_	_
restaurants	_	_
since	_	_
I	_	_
took	PRED	PRED
Ric	_	_
there	_	_
last	_	_
year	_	_
for	_	_
his	_	_
birthday	_	_
.	_	_
We	_	_
stayed	PRED	PRED
at	_	_
the	_	_
Menger	_	_
and	_	_
had	PRED	PRED
a	_	_
great	_	_
time	_	_
.	_	_
This	_	_
Friday	_	_
-	_	_
Michael	_	_
goes	PRED	PRED
for	_	_
a	_	_
visit	_	PRED
at	_	_
St.	_	_
Francis	_	_
,	_	_
which	_	_
may	_	_
be	PRED	PRED
his	_	_
new	_	_
school	_	_
(	_	_
so	_	_
far	_	_
,	_	_
so	_	_
good	_	_
)	_	_
.	_	_
I	_	_
'll	_	_
be	PRED	PRED
in	_	_
around	_	_
1000	_	_
Most	_	_
Fridays	_	_
I	_	_
'm	PRED	PRED
going	_	PRED
to	_	_
TRY	PRED	PRED
to	_	_
pick	PRED	PRED
Michael	_	_
up	_	_
since	_	_
I	_	_
'm	PRED	PRED
away	_	_
so	_	_
much	_	_
,	_	_
which	_	_
means	PRED	PRED
leaving	_	PRED
by	_	_
445	_	_
or	_	_
so	_	_
.	_	_
October	_	_
4	_	_
,	_	_
ENA	_	_
orientation	_	PRED
in	_	_
the	_	_
am	_	_
.	_	_
October	_	_
19	_	_
/	_	_
20	_	_
,	_	_
Neil	_	_
is	PRED	PRED
out	_	_
of	_	_
town	_	_
,	_	_
so	_	_
I	_	_
have	PRED	PRED
to	_	_
pick	PRED	PRED
Michael	_	_
up	_	_
from	_	_
school	_	_
(	_	_
leave	PRED	PRED
at	_	_
430	_	_
)	_	_
October	_	_
26	_	_
/	_	_
27	_	_
,	_	_
hope	PRED	PRED
to	_	_
be	PRED	PRED
vacation	_	_
time	_	_
.	_	_
Neil	_	_
has	PRED	PRED
a	_	_
meeting	_	PRED
in	_	_
San	_	_
Antonio	_	_
(	_	_
usually	_	_
it	_	_
is	PRED	PRED
in	_	_
Miami	_	_
,	_	_
San	_	_
Francisco	_	_
,	_	_
Phoenix	_	_
-	_	_
not	_	_
so	_	_
great	_	_
this	_	_
year	_	_
)	_	_
.	_	_
It	_	_
is	PRED	PRED
the	_	_
officer	_	_
's	_	_
meeting	_	PRED
for	_	_
Enterprise	_	_
,	_	_
and	_	_
spouses	_	_
are	PRED	PRED
invited	PRED	PRED
.	_	_
This	_	_
means	PRED	PRED
we	_	_
wo	_	_
n't	_	_
be	PRED	PRED
in	_	_
town	_	_
for	_	_
the	_	_
Compaq	_	_
thing	_	_
.	_	_
Figures	PRED	PRED
,	_	_
of	_	_
course	_	_
.	_	_
Thanks	_	PRED
for	_	_
asking	_	PRED
.	_	_
I	_	_
'm	PRED	PRED
watching	_	PRED
for	_	_
some	_	_
good	_	_
vacation	_	_
days	_	_
,	_	_
also	_	_
...	_	_
fyi	_	_
/	_	_
review	_	PRED
/	_	_
comment	_	PRED
I	_	_
have	PRED	PRED
a	_	_
couple	_	_
of	_	_
questions	_	PRED
so	_	_
I	_	_
can	_	_
wrap	PRED	PRED
up	_	_
the	_	_
LOI	_	_
:	_	_
We	_	_
refer	PRED	PRED
to	_	_
licensed	PRED	_
Fuel	_	_
Cell	_	_
Energy	_	_
equipment	_	_
.	_	_
Do	PRED	PRED
we	_	_
intend	PRED	PRED
to	_	_
reference	PRED	PRED
a	_	_
particular	_	_
manufacturer	_	_
,	_	_
or	_	_
should	_	_
this	_	_
be	PRED	PRED
more	_	_
generic	_	_
?	_	_
Do	PRED	PRED
we	_	_
want	PRED	PRED
to	_	_
attach	PRED	PRED
a	_	_
draft	_	_
of	_	_
the	_	_
Development	_	_
Agreement	_	PRED
,	_	_
and	_	_
condition	PRED	PRED
the	_	_
final	_	_
deal	_	PRED
on	_	_
agreeing	_	PRED
to	_	_
terms	_	_
substantially	_	_
the	_	_
same	_	_
as	_	_
what	_	_
's	PRED	PRED
in	_	_
the	_	_
draft	_	_
?	_	_
I	_	_
have	PRED	PRED
a	_	_
concern	_	PRED
that	_	_
the	_	_
Enron	_	_
optionality	_	_
bug	_	_
could	_	_
bite	PRED	PRED
us	_	_
on	_	_
the	_	_
backside	_	_
with	_	_
that	_	_
one	_	_
.	_	_
Do	PRED	PRED
we	_	_
expect	PRED	PRED
to	_	_
have	PRED	PRED
ONE	_	_
EPC	_	_
contract	_	_
,	_	_
or	_	_
several	_	_
?	_	_
I	_	_
'm	PRED	PRED
looking	_	PRED
for	_	_
the	_	_
confidentiality	_	_
agreement	_	PRED
,	_	_
which	_	_
may	_	_
be	PRED	PRED
in	_	_
Bart	_	_
's	_	_
files	_	_
(	_	_
have	PRED	PRED
n't	_	_
checked	PRED	PRED
closely	_	_
yet	_	_
)	_	_
.	_	_
If	_	_
anyone	_	_
has	PRED	PRED
it	_	_
handy	_	PRED
,	_	_
it	_	_
could	_	_
speed	PRED	PRED
things	_	_
up	_	_
for	_	_
me	_	_
.	_	_
Thanks	_	PRED
,	_	_
Forget	PRED	PRED
the	_	_
ONE	_	_
or	_	_
more	_	_
contract	_	_
questions	_	PRED
.	_	_
I	_	_
see	PRED	PRED
we	_	_
expect	PRED	PRED
to	_	_
have	PRED	PRED
separate	_	_
contracts	_	_
for	_	_
each	_	_
project	_	_
.	_	_
I	_	_
have	PRED	PRED
a	_	_
couple	_	_
of	_	_
questions	_	PRED
so	_	_
I	_	_
can	_	_
wrap	PRED	PRED
up	_	_
the	_	_
LOI	_	_
:	_	_
We	_	_
refer	PRED	PRED
to	_	_
licensed	PRED	_
Fuel	_	_
Cell	_	_
Energy	_	_
equipment	_	_
.	_	_
Do	PRED	PRED
we	_	_
intend	PRED	PRED
to	_	_
reference	PRED	PRED
a	_	_
particular	_	_
manufacturer	_	_
,	_	_
or	_	_
should	_	_
this	_	_
be	PRED	PRED
more	_	_
generic	_	_
?	_	_
Do	PRED	PRED
we	_	_
want	PRED	PRED
to	_	_
attach	PRED	PRED
a	_	_
draft	_	_
of	_	_
the	_	_
Development	_	_
Agreement	_	PRED
,	_	_
and	_	_
condition	PRED	PRED
the	_	_
final	_	_
deal	_	PRED
on	_	_
agreeing	_	PRED
to	_	_
terms	_	_
substantially	_	_
the	_	_
same	_	_
as	_	_
what	_	_
's	PRED	PRED
in	_	_
the	_	_
draft	_	_
?	_	_
I	_	_
have	PRED	PRED
a	_	_
concern	_	PRED
that	_	_
the	_	_
Enron	_	_
optionality	_	_
bug	_	_
could	_	_
bite	PRED	PRED
us	_	_
on	_	_
the	_	_
backside	_	_
with	_	_
that	_	_
one	_	_
.	_	_
Do	PRED	PRED
we	_	_
expect	PRED	PRED
to	_	_
have	PRED	PRED
ONE	_	_
EPC	_	_
contract	_	_
,	_	_
or	_	_
several	_	_
?	_	_
I	_	_
'm	PRED	PRED
looking	_	PRED
for	_	_
the	_	_
confidentiality	_	_
agreement	_	PRED
,	_	_
which	_	_
may	_	_
be	PRED	PRED
in	_	_
Bart	_	_
's	_	_
files	_	_
(	_	_
have	PRED	PRED
n't	_	_
checked	PRED	PRED
closely	_	_
yet	_	_
)	_	_
.	_	_
If	_	_
anyone	_	_
has	PRED	PRED
it	_	_
handy	_	PRED
,	_	_
it	_	_
could	_	_
speed	PRED	PRED
things	_	_
up	_	_
for	_	_
me	_	_
.	_	_
Thanks	_	PRED
,	_	_
On	_	_
the	_	_
issue	_	PRED
of	_	_
the	_	_
contracts	_	_
,	_	_
the	_	_
draft	_	_
says	PRED	PRED
that	_	_
the	_	_
$	_	_
170	_	_
m	_	_
is	PRED	PRED
paid	PRED	PRED
when	_	_
the	_	_
EPC	_	_
contract	_	_
is	PRED	PRED
signed	PRED	PRED
.	_	_
Are	PRED	PRED
we	_	_
expecting	_	PRED
that	_	_
the	_	_
portion	_	_
attributable	_	_
to	_	_
each	_	_
project	_	_
will	_	_
be	PRED	PRED
paid	PRED	PRED
as	_	_
the	_	_
individual	_	_
EPC	_	_
contracts	_	_
are	PRED	PRED
signed	PRED	PRED
?	_	_
Thanks	_	PRED
,	_	_
1	_	_
.	_	_
The	_	_
pricing	_	PRED
that	_	_
we	_	_
have	PRED	PRED
given	PRED	PRED
CRRA	_	_
is	PRED	PRED
specific	_	_
to	_	_
FuelCell	_	_
Energy	_	_
and	_	_
would	_	_
not	_	_
be	PRED	PRED
meaningful	_	_
without	_	_
listing	_	PRED
the	_	_
manufacturer	_	_
(	_	_
i.e.	_	_
,	_	_
ONSI	_	_
would	_	_
be	PRED	PRED
a	_	_
lot	_	_
more	_	_
money	_	_
)	_	_
.	_	_
Hence	_	_
,	_	_
I	_	_
think	PRED	PRED
that	_	_
we	_	_
have	PRED	PRED
to	_	_
reference	PRED	PRED
the	_	_
manufacturer	_	_
.	_	_
2	_	_
.	_	_
The	_	_
attachment	_	PRED
of	_	_
the	_	_
Development	_	_
Agreement	_	PRED
is	PRED	PRED
a	_	_
Jeff	_	_
question	_	PRED
.	_	_
In	_	_
order	_	_
to	_	_
mark	PRED	PRED
any	_	_
2000	_	_
income	_	_
,	_	_
we	_	_
will	_	_
need	PRED	PRED
to	_	_
get	PRED	PRED
CRRA	_	_
to	_	_
execute	PRED	PRED
the	_	_
Development	_	_
Agreement	_	PRED
in	_	_
2000	_	_
.	_	_
In	_	_
my	_	_
opinion	_	_
,	_	_
we	_	_
should	_	_
show	PRED	PRED
CRRA	_	_
a	_	_
copy	_	PRED
of	_	_
the	_	_
LOI	_	_
with	_	_
the	_	_
assumption	_	PRED
that	_	_
the	_	_
Development	_	_
Agreement	_	PRED
is	PRED	PRED
attached	PRED	PRED
.	_	_
I	_	_
would	_	_
actually	_	_
send	PRED	PRED
them	_	_
the	_	_
draft	_	_
Development	_	_
Agreement	_	PRED
a	_	_
couple	_	_
days	_	_
after	_	_
the	_	_
LOI	_	_
.	_	_
Based	PRED	_
on	_	_
how	_	_
CRRA	_	_
reacts	PRED	PRED
,	_	_
I	_	_
would	_	_
make	PRED	PRED
an	_	_
ultimate	_	_
determination	_	PRED
if	_	_
the	_	_
agreement	_	PRED
needs	PRED	PRED
to	_	_
be	PRED	PRED
attached	PRED	PRED
to	_	_
the	_	_
LOI	_	_
.	_	_
3	_	_
.	_	_
I	_	_
expect	PRED	PRED
at	_	_
least	_	_
one	_	_
EPC	_	_
contract	_	_
per	_	_
project	_	_
.	_	_
We	_	_
do	PRED	PRED
n't	_	_
want	PRED	PRED
to	_	_
condition	PRED	PRED
the	_	_
acceptance	_	PRED
of	_	_
one	_	_
project	_	_
on	_	_
the	_	_
performance	_	PRED
of	_	_
another	_	_
project	_	_
.	_	_
Performance	_	_
tests	_	PRED
will	_	_
either	_	_
be	PRED	PRED
performed	PRED	PRED
on	_	_
a	_	_
project	_	_
basis	_	_
or	_	_
a	_	_
unit	_	_
by	_	_
unit	_	_
basis	_	_
in	_	_
a	_	_
given	PRED	_
project	_	_
.	_	_
Remarkably	_	_
clear	_	_
explanation	_	PRED
.	_	_
Sent	PRED	PRED
by	_	_
:	_	_
Ben	_	_
Jacoby@ECT	_	_
FYI	_	_
,	_	_
see	PRED	PRED
below	_	_
.	_	_
Mom	_	_
's	_	_
birthday	_	_
is	PRED	PRED
tommorow	_	_
.	_	_
What	_	_
are	PRED	PRED
we	_	_
going	_	PRED
to	_	_
get	PRED	PRED
her	_	_
?	_	_
That	_	_
is	PRED	PRED
some	_	_
good	_	_
stuff	_	_
.	_	_
I	_	_
hear	PRED	PRED
you	_	_
are	PRED	PRED
coming	_	PRED
our	_	_
way	_	PRED
soon	_	_
.	_	_
Look	PRED	PRED
forward	_	_
to	_	_
drinking	_	PRED
a	_	_
few	_	_
beers	_	_
.	_	_
Yo	_	_
Mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
....	_	_
Your	_	_
mama	_	_
is	PRED	PRED
so	_	_
fat	_	PRED
:	_	_
When	_	_
she	_	_
hauls	PRED	PRED
ass	_	_
she	_	_
has	PRED	PRED
to	_	_
make	PRED	PRED
two	_	_
trips	_	PRED
.	_	_
When	_	_
she	_	_
dances	PRED	PRED
she	_	_
makes	PRED	PRED
the	_	_
band	_	_
skip	PRED	PRED
.	_	_
When	_	_
she	_	_
was	PRED	PRED
diagnosed	PRED	PRED
with	_	_
the	_	_
flesh	_	_
eating	_	_
disease	_	_
the	_	_
doctor	_	_
gave	PRED	PRED
her	_	_
13	_	_
years	_	_
to	_	_
live	PRED	PRED
.	_	_
She	_	_
puts	PRED	PRED
mayonnaise	_	_
on	_	_
aspirin	_	_
.	_	_
(	_	_
<-	_	_
clearly	_	_
the	_	_
winner	_	_
)	_	_
Her	_	_
cereal	_	_
bowl	_	_
came	PRED	PRED
with	_	_
a	_	_
lifeguard	_	_
.	_	_
When	_	_
she	_	_
goes	PRED	PRED
to	_	_
the	_	_
zoo	_	_
the	_	_
elephants	_	_
throw	PRED	PRED
her	_	_
peanuts	_	_
.	_	_
Her	_	_
high	_	_
school	_	_
graduation	_	PRED
picture	_	_
was	PRED	PRED
an	_	_
aerial	_	_
photograph	_	_
.	_	_
Her	_	_
driver	_	_
`s	_	_
license	_	_
says	PRED	PRED
|	|	_	_
Picture	_	_
continued	PRED	PRED
on	_	_
other	_	_
side	_	_
.	_	_
|	|	_	_
She	_	_
has	PRED	PRED
to	_	_
iron	PRED	PRED
her	_	_
pants	_	_
on	_	_
the	_	_
driveway	_	_
.	_	_
The	_	_
back	_	_
of	_	_
her	_	_
neck	_	_
looks	PRED	PRED
like	_	_
a	_	_
pack	_	_
of	_	_
hot	_	_
dogs	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
all	_	_
the	_	_
restaurants	_	_
in	_	_
town	_	_
have	PRED	PRED
signs	_	PRED
that	_	_
say	PRED	PRED
:	_	_
|	|	_	_
Maximum	_	_
Occupancy	_	_
:	_	_
240	_	_
Patrons	_	_
OR	_	_
Yo	_	_
Mama	_	_
|	|	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
when	_	_
she	_	_
ran	PRED	PRED
away	_	_
,	_	_
they	_	_
had	PRED	PRED
to	_	_
use	PRED	PRED
all	_	_
four	_	_
sides	_	_
of	_	_
the	_	_
milk	_	_
carton	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
instead	_	_
of	_	_
Levis	_	_
501	_	_
jeans	_	_
,	_	_
she	_	_
wears	PRED	PRED
Levi`s	_	_
1002`s	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
when	_	_
she	_	_
gets	PRED	PRED
in	_	_
an	_	_
elevator	_	_
,	_	_
it	_	_
HAS	PRED	PRED
to	_	_
go	PRED	PRED
down	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
she	_	_
was	PRED	PRED
born	PRED	PRED
with	_	_
a	_	_
silver	_	_
shovel	_	_
in	_	_
her	_	_
mouth	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
she	_	_
`s	PRED	PRED
got	PRED	PRED
smaller	_	_
fat	_	_
women	_	_
orbiting	_	PRED
around	_	_
her	_	_
.	_	_
Yo	_	_
mama	_	_
`s	PRED	PRED
so	_	_
fat	_	PRED
,	_	_
she	_	_
could	_	_
sell	PRED	PRED
shade	_	_
.	_	_
You	_	_
will	_	_
have	PRED	PRED
to	_	_
wait	PRED	PRED
and	_	_
see	PRED	PRED
:-)	_	_
Expect	PRED	PRED
a	_	_
call	_	PRED
from	_	_
Paul	_	_
tonight	_	_
.	_	_
What	_	_
are	PRED	PRED
some	_	_
good	_	_
interview	_	_
questions	_	PRED
?	_	_
Poll	PRED	PRED
your	_	_
co-workers	_	_
.	_	_
I	_	_
told	PRED	PRED
Paul	_	_
that	_	_
you	_	_
called	PRED	PRED
him	_	_
yesterday	_	_
so	_	_
abruptly	_	_
because	_	_
you	_	_
did	PRED	PRED
n't	_	_
want	PRED	PRED
to	_	_
waste	PRED	PRED
his	_	_
time	_	_
while	_	_
you	_	_
got	PRED	PRED
tests	_	PRED
done	PRED	PRED
for	_	_
arthritis	_	_
.	_	_
I	_	_
told	PRED	PRED
him	_	_
I	_	_
told	PRED	PRED
you	_	_
to	_	_
call	PRED	PRED
him	_	_
back	_	_
and	_	_
at	_	_
least	_	_
hear	PRED	PRED
what	_	_
he	_	_
has	PRED	PRED
to	_	_
say	PRED	PRED
.	_	_
He	_	_
said	PRED	PRED
they	_	_
are	PRED	PRED
looking	_	PRED
for	_	_
people	_	_
and	_	_
based	PRED	_
on	_	_
what	_	_
I	_	_
told	PRED	PRED
him	_	_
an	_	_
interview	_	PRED
was	PRED	PRED
a	_	_
formality	_	_
.	_	_
Is	PRED	PRED
that	_	_
Microwave	_	_
that	_	_
you	_	_
gave	PRED	PRED
Dan	_	_
really	_	_
expensive	_	PRED
?	_	_
All	_	_
the	_	_
guys	_	_
at	_	_
work	_	PRED
are	PRED	PRED
saying	_	PRED
I	_	_
should	_	_
n't	_	_
bother	PRED	PRED
having	_	PRED
it	_	_
fixed	PRED	PRED
I	_	_
should	_	_
just	_	_
buy	PRED	PRED
a	_	_
new	_	_
one	_	_
.	_	_
I	_	_
wo	_	_
n't	_	_
forget	PRED	PRED
about	_	_
the	_	_
$	_	_
.	_	_
Do	PRED	PRED
I	_	_
need	PRED	PRED
to	_	_
cross	_	_
reference	PRED	PRED
the	_	_
deals	_	PRED
in	_	_
my	_	_
model	_	PRED
to	_	_
the	_	_
deals	_	PRED
in	_	_
the	_	_
system	_	_
or	_	_
did	PRED	PRED
you	_	_
already	_	_
do	PRED	PRED
that	_	_
?	_	_
Do	PRED	PRED
n't	_	_
take	PRED	PRED
that	_	_
deal	_	PRED
out	_	_
until	_	_
I	_	_
look	PRED	PRED
at	_	_
it	_	_
.	_	_
I	_	_
think	PRED	PRED
it	_	_
is	PRED	PRED
mine	_	_
but	_	_
I	_	_
forgot	PRED	PRED
to	_	_
write	PRED	PRED
it	_	_
in	_	_
the	_	_
blue	_	_
FX	_	_
book	_	_
(	_	_
I	_	_
only	_	_
wrote	PRED	PRED
it	_	_
in	_	_
my	_	_
red	_	_
book	_	_
)	_	_
.	_	_
Just	_	_
a	_	_
reminder	_	_
to	_	_
send	PRED	PRED
me	_	_
a	_	_
currency	_	_
report	_	PRED
.	_	_
Paul	_	_
called	PRED	PRED
me	_	_
today	_	_
.	_	_
He	_	_
will	_	_
be	PRED	PRED
in	_	_
Calgary	_	_
in	_	_
a	_	_
couple	_	_
of	_	_
weeks	_	_
and	_	_
will	_	_
interview	PRED	PRED
you	_	_
then	_	_
.	_	_
You	_	_
should	_	_
reply	PRED	PRED
ASAP	_	_
.	_	_
Do	PRED	PRED
n't	_	_
make	PRED	PRED
Peters	_	_
and	_	_
Co.	_	_
wait	PRED	PRED
.	_	_
I	_	_
did	PRED	PRED
n't	_	_
get	PRED	PRED
a	_	_
chance	_	PRED
to	_	_
talk	PRED	PRED
to	_	_
Paul	_	_
today	_	_
.	_	_
Give	PRED	PRED
him	_	_
a	_	_
call	_	PRED
tommorow	_	_
.	_	_
Will	_	_
you	_	_
please	_	_
run	PRED	PRED
a	_	_
June	_	_
NX3	_	_
/	_	_
NX1	_	_
for	_	_
our	_	_
book	_	_
.	_	_
How	_	_
about	_	_
meeting	_	PRED
at	_	_
11:30	_	_
or	_	_
12	_	_
?	_	_
I	_	_
